"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Purchase","0","Checkout Information","2","0","Back to cart from checkout information page","0"
"0","Authorization","0","Login","12","0","Invalid login","0"
"0","Purchase","0","Checkout Complete","2","0","Back to products from checkout complete page","0"
"0","Purchase","0","Checkout Overview","2","0","Cancel checkout overview","0"
"0","Products","0","Item Page","2","0","Back to products from item page","0"
"0","Purchase","0","Checkout Information","8","0","Invalid checkout information","0"
"0","Cart","0","Cart","2","0","Back to products from cart page","0"
"0","Products","0","Sorting","8","0","Sort products","0"
"0","Products","0","Cart","2","0","Add random products to cart","0"
"0","Products","0","Item Page","2","0","Remove product from item page","0"
"0","Purchase","0","Checkout Information","2","0","Successful checkout information","0"
"0","Products","0","Cart","2","0","Add all products to cart","0"
"0","Purchase","0","Checkout Overview","2","0","Verify products on checkout overview","0"
"0","Products","0","Item Page","2","0","Add product to cart from item page","0"
"0","Cart","0","Cart","2","0","Remove random products from cart","0"
"0","Purchase","0","Checkout","2","0","Successful purchase","0"
"0","Purchase","0","Checkout Complete","2","0","Open checkout complete page","0"
"0","Cart","0","Cart","2","0","Remove all products from cart","0"
"0","Purchase","0","Checkout Overview","2","0","Open checkout overview page","0"
"0","Products","0","Product Catalog","2","0","Open products page","0"
"0","Authorization","0","Login","2","0","Successful login","0"
"0","Purchase","0","Checkout Overview","2","0","Verify total price","0"
"0","Products","0","Item Page","2","0","Open item page","0"
"0","Cart","0","Cart","2","0","Open cart page","0"
"0","Purchase","0","Checkout Information","2","0","Open checkout information page","0"
