"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","568","test_back_to_cart_from_checkout_info_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1000","Login validation: unregistered_username_registered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","757","Login validation: empty_username_empty_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1331","test_back_to_products_from_checkout_complete_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","1441","test_back_to_products_from_checkout_overview_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1612","test_navigation_back_to_products_page_from_item_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","779","test_invalid_fill_checkout_info_form[Empty form-chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1382","test_navigation_back_to_products_page_from_cart_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","965","Sort products by: PRICE_HIGH_LOW","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1375","Login validation: empty_username_empty_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1537","test_add_random_products_to_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","954","test_invalid_fill_checkout_info_form[Empty last name-firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","894","test_remove_item_after_adding_to_cart[chrome]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","765","test_invalid_fill_checkout_info_form[Empty last name-chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","971","test_successful_fill_checkout_info_form[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1706","test_add_all_product_to_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","2277","test_added_products_is_displayed_on_checkout_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","929","test_add_item_to_cart[chrome]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1633","test_remove_random_products_from_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","2697","test_e2e[firefox]","tests","2026-06-25","passed","2026-06-25","TestE2E","test_e2e","",""
"","769","Sort products by: PRICE_LOW_HIGH","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","455","test_navigation_to_checkout_complete_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","758","Login validation: unregistered_username_registered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1624","test_remove_random_products_from_cart[chrome]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","798","test_add_random_products_to_cart[chrome]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1011","Login validation: valid_username_empty_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","2726","test_remove_all_products_from_cart[chrome]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","2155","test_add_all_product_to_cart[chrome]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","491","Sort products by: PRICE_LOW_HIGH","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1411","test_invalid_fill_checkout_info_form[Empty form-firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1890","test_back_to_products_from_checkout_overview_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1009","test_navigation_to_checkout_overview_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","903","Login validation: valid_username_empty_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1286","Login validation: unregistered_user","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1667","test_navigation_products[chrome]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","404","Sort products by: NAME_ZA","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","387","Sort products by: PRICE_HIGH_LOW","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1177","test_navigation_back_to_products_page_from_cart_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","2427","test_navigation_products[firefox]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1827","test_successful_authorization[chrome]","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","753","Login validation: unregistered_user","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","678","test_invalid_fill_checkout_info_form[Empty first name-chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1502","test_add_item_to_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1664","test_checkout_overview_displays_correct_products_total_price[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","689","test_navigation_to_item_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","721","Sort products by: NAME_AZ","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1003","test_remove_item_after_adding_to_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1331","test_back_to_cart_from_checkout_info_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","850","test_successful_fill_checkout_info_form[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","2209","test_successful_authorization[firefox]","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","339","Sort products by: NAME_AZ","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","729","Login validation: registered_username_unregistered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","649","test_invalid_fill_checkout_info_form[Empty first name-firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","390","test_navigation_to_cart_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","1396","test_navigation_to_cart_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","539","test_navigation_to_checkout_info_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","825","Sort products by: NAME_ZA","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1249","Login validation: registered_username_unregistered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1013","test_navigation_to_checkout_info_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","852","test_invalid_fill_checkout_info_form[Empty postal code-chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","713","Login validation: empty_username_valid_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1494","test_checkout_overview_displays_correct_products_total_price[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1307","test_navigation_to_checkout_overview_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","987","test_invalid_fill_checkout_info_form[Empty postal code-firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1065","Login validation: empty_username_valid_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1264","test_back_to_products_from_checkout_complete_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","2460","test_remove_all_products_from_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","2708","test_added_products_is_displayed_on_checkout_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","3910","test_e2e[chrome]","tests","2026-06-25","passed","2026-06-25","TestE2E","test_e2e","",""
"","979","test_navigation_to_checkout_complete_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","764","test_navigation_to_item_page[chrome]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1469","test_navigation_back_to_products_page_from_item_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
